mean_vb
0.353
0.418
0.145
0.209
0.365
0.434
0.173
0.207
0.284
0.55
0.156
0.211
0.334
0.399
0.179
0.209
0.229
0.344
0.204
0.229
0.322
0.589
0.231
0.277
